review,normalized_review,sentiment,topics,summary
"This was a stunning book. Well written, packed with fascinating detail, I wish I had ten more like it to turn to. Anyone looking for an inside view of a part of China's history would do well to pick up this book. It was a wonderful read.",stunning book well written packed fascinating detail wish ten like turn anyone looking inside view part chinas history would well pick book wonderful read,positive,"chinas history, view chinas, stunning book",Error: '<' not supported between instances of 'NoneType' and 'int'
"This book just gives you the basics unfortunately. Was not very helpful, I would suggest just doing research on the interweb instead.",book gives basics unfortunately helpful would suggest research interweb instead,positive,"research interweb, suggest research, interweb",Error: '<' not supported between instances of 'NoneType' and 'int'
This book does not convey much of anything. Save your time and money. Read Searching for Bobby Fischer. The details and honesty are lacking in this made for MTV summary of kindergartener makes good.,book convey much anything save time money read searching bobby fischer details honesty lacking made mtv summary kindergartener makes good,positive,"summary kindergartener, kindergartener makes, kindergartener",Error: '<' not supported between instances of 'NoneType' and 'int'
"First off, I've bought ALL of Tonis other albums. This one took me three listenings to really get to like it. When I found out that it was about a child being born and how her life progressed, I found the work all the more interesting. Some of the songs really stick in your mind. If you see the Album as a story (of a girls life) it makes the Album much more interesting than just listening to the album song by song.Pink Floyd used to do this, have an album which was a theme or story, like The Wall album.I took the CD out of my colection after not listening to it for about 5 months, and have been playing it in my car on the way to work and home for over a week now.It's GREAT. And I'm not a female by the way.Nice ALbum. If you like Tonis other works,.....GET IT.",first ive bought tonis albums one took three listenings really get like found child born life progressed found work interesting songs really stick mind see album story girls life makes album much interesting listening album song songpink floyd used album theme story like wall albumi took cd colection listening months playing car way work home week nowits great im female waynice album like tonis worksget,positive,"tonis albums, listening album, albums",Error: '<' not supported between instances of 'NoneType' and 'int'
"the scratch resistant screen guard protector is fit perfectly on the screen of HTC cingular 8125. Quality of the screen guard protector is very good. only negative point is high shipping charge. it cost me $4.99 as shipping for buying this item which cost $ 3.49 amazon has to reduce the shipping charge, or reduce the shipping charge for combined items. any way best buy.",scratch resistant screen guard protector fit perfectly screen htc cingular quality screen guard protector good negative point high shipping charge cost shipping buying item cost amazon reduce shipping charge reduce shipping charge combined items way best buy,positive,"protector fit, screen guard, guard protector",Error: '<' not supported between instances of 'NoneType' and 'int'
I couldn't even finish the book. I got about half way through and realized I wasn't paying attention and didn't care. Nothing like Harry Potter - not fun at all. I can't recommend this at all!,couldnt even finish book got half way realized wasnt paying attention didnt care nothing like harry potter fun cant recommend,positive,"potter fun, harry potter, finish book",Error: '<' not supported between instances of 'NoneType' and 'int'
We were given this book as a shower gift before our kids were born and I was somewhat skeptical but it has turned out to be a favorite. Our daughter loves to name the animals and their sounds and has learned her colours from these wonderful books. The pictures are just right as is the wonderful text that is just enough repetition that she 'gets it' to participate with the reading. A great asset to your children's library... or shower gift for those people who have everything already!,given book shower gift kids born somewhat skeptical turned favorite daughter loves name animals sounds learned colours wonderful books pictures right wonderful text enough repetition gets participate reading great asset childrens library shower gift people everything already,positive,"shower gift, gift kids, book shower",Error: '<' not supported between instances of 'NoneType' and 'int'
"Having received this video as a gift, we watched it as a family, accompanied by a lot of laughter and ""I didn't know that"". The kids managed to show this to most of their friends, the youngest even taking it to school where his 1st grade teacher used it as a part of her unit on Careers.The video is an overall winner. Anyone, any age, will enjoy the playful and informative story and all will come away with a greater understanding and respect for both the lobster and the lobsterman. BUY IT!",received video gift watched family accompanied lot laughter didnt know kids managed show friends youngest even taking school st grade teacher used part unit careersthe video overall winner anyone age enjoy playful informative story come away greater understanding respect lobster lobsterman buy,positive,"respect lobster, video gift, lobsterman",Error: '<' not supported between instances of 'NoneType' and 'int'
This book is used by many marriage counselors. But I believe if you are getting married this book should be required reading. It provides true insight to what makes us tick and how to keep the fire burning bright which should be every expecting to be couple's heart desire.,book used many marriage counselors believe getting married book required reading provides true insight makes us tick keep fire burning bright every expecting couples heart desire,positive,"married book, marriage counselors, marriage",Error: '<' not supported between instances of 'NoneType' and 'int'
"Listened to this CD closely for the first time in a while. I've forgotten how outstanding this CD is. While I have not heard Pure, I have ordered it hoping it that will be anything close to this CD - and hopefully far away from Dead Inside which is a whole different planet. Great vocals, great music, great lyrics, it has it all.",listened cd closely first time ive forgotten outstanding cd heard pure ordered hoping anything close cd hopefully far away dead inside whole different planet great vocals great music great lyrics,positive,"listened cd, outstanding cd, cd heard",Error: '<' not supported between instances of 'NoneType' and 'int'
"Debido a los otros comentarios al respecto de este disco quiero aclarar que Caifanes NO es lo mismo que Jaguares. Son dos grupos diferentes ya que en Caifanes la guitarra estaba en primer plano. El unico pero que le pongo a este CD es que solo incluyeron 2 canciones del MTV Unplugged. Me hubiera gustado que incluyeran todo el MTV unplugged en el segundo disco. Las guitarras de Marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que no hay ""overdubbing"" (Regrabaciones). Un buen disco para empezar. Estoy seguro que si este es el primer disco de Caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que no se incluyen de los otros discos.",debido los otros comentarios al respecto de este disco quiero aclarar que caifanes es lo mismo que jaguares son dos grupos diferentes ya que en caifanes la guitarra estaba en primer plano el unico pero que le pongo este cd es que solo incluyeron canciones del mtv unplugged hubiera gustado que incluyeran todo el mtv unplugged en el segundo disco las guitarras de marcovich se aprecian mas en las versiones en vivo ya que existe la certeza de que hay overdubbing regrabaciones un buen disco para empezar estoy seguro que si este es el primer disco de caifanes que se adquiere pronto nacera la curiosidad por conocer las canciones que se incluyen de los otros discos,neutral,"segundo disco, este disco, disco caifanes",Error: '<' not supported between instances of 'NoneType' and 'int'
This book has two stories writen at the same time. In the original pbook format one story was written in left pages and the other in the right pages. But this is all lost in the Kindle and its very complicated to follow the story. I can not uderestand how they dare to sell a product not propared to be used properlly by its readers.,book two stories writen time original pbook format one story written left pages right pages lost kindle complicated follow story uderestand dare sell product propared used properlly readers,neutral,"book stories, lost kindle, format story",Error: '<' not supported between instances of 'NoneType' and 'int'
"The documentary is typical Ken Burns... interesting, but a little meandering at times.The real shame of this version is the grainy video that is painfully apparent on a large HD display. Burns' panned still images are crystal clear showing every blemish and fold of the old photographs but his shots of the majestic scenery in the parks are marred by his poor choice of camera and film. I will say the soundtrack is fairly well done even if Peter Coyote (narrator) is a little dry.Do not bother with the blu ray version, you will not get anything more than the standard DVD version with this series.",documentary typical ken burns interesting little meandering timesthe real shame version grainy video painfully apparent large hd display burns panned still images crystal clear showing every blemish fold old photographs shots majestic scenery parks marred poor choice camera film say soundtrack fairly well done even peter coyote narrator little drydo bother blu ray version get anything standard dvd version series,negative,"documentary typical, documentary, ken burns",Error: '<' not supported between instances of 'NoneType' and 'int'
"This book is nowhere near as good as the the first series! It SERIOSLY LACKS EXEMENT!In other words don't buy it, if you really want to read it, get it from the libray. I would not recomend it to anybody.",book nowhere near good first series seriosly lacks exementin words dont buy really want read get libray would recomend anybody,negative,"read libray, book, book near",Error: '<' not supported between instances of 'NoneType' and 'int'
"""WITNESS"" is about Ford and an Amish boy who witnesses a murder. Now, the Amish don't beleive in killing and guns - and to have their child see that sort of stuff is just terrible. Now, men who were involved in the murder are out to murder THE AMISH BOY! Suspenseful and red - blooded, ""WITNESS"" is an awsome film! I loved it and I bet anyone will, too! ENJOY!",witness ford amish boy witnesses murder amish dont beleive killing guns child see sort stuff terrible men involved murder murder amish boy suspenseful red blooded witness awsome film loved bet anyone enjoy,negative,"murder amish, ford amish, witnesses murder",Error: '<' not supported between instances of 'NoneType' and 'int'
"Nina's characters are complex and drawn well, it is evident that she took some time to think about her character's motivations. If I were a writer I might have written the ending differently, but that is okay, my book club talked about this one for awhile. A good exploration of the line between admiring someone and stalking and a bold exploration of the dark side of behavior. If you are looked for a well plotted, interesting story, this is for you. It is not one of those books with lots of sex and no plot as you might think at first. I was pleasantly surprised and look forward to whatever Ms. Foxx has up her sleeve next.",ninas characters complex drawn well evident took time think characters motivations writer might written ending differently okay book club talked one awhile good exploration line admiring someone stalking bold exploration dark side behavior looked well plotted interesting story one books lots sex plot might think first pleasantly surprised look forward whatever ms foxx sleeve next,positive,"ninas characters, characters motivations, ninas",Error: '<' not supported between instances of 'NoneType' and 'int'
I've saved a lot of space by hanging my shoes up with this. For heavier shoes you have to use more than one hanger though,ive saved lot space hanging shoes heavier shoes use one hanger though,positive,"hanging shoes, heavier shoes, shoes heavier",Error: '<' not supported between instances of 'NoneType' and 'int'
"A few years back my father got me hooked on this album. It was the first cd I ever owned. An ex-girlfriend liked it so much that after we broke up she declared that cd was not coming with me.I couldn't blame her. The mix of blues and spirituals with Cooder's unique playing makes this one the most intesting albums I own. The medley of ""Feeling Good"" and ""Fool for a Cigarette"" is one of my favorites as well as balads like ""Mexican Divorce"" and ""Jesus on the Main Line"".The album also has some songs that keep it from taking itself too seriously. The song ""If Walls Could Talk"" has a catchy riff and great words.Cooder's great acoustic style shines through on what was a break-through album of the time and holds up years later. I always hear something that I missed on previous listenings.Although you don't need to be a guitar player to appreciate this album, every acoustic player should hear the fine guitar work. Enjoy!",years back father got hooked album first cd ever owned exgirlfriend liked much broke declared cd coming mei couldnt blame mix blues spirituals cooders unique playing makes one intesting albums medley feeling good fool cigarette one favorites well balads like mexican divorce jesus main linethe album also songs keep taking seriously song walls could talk catchy riff great wordscooders great acoustic style shines breakthrough album time holds years later always hear something missed previous listeningsalthough dont need guitar player appreciate album every acoustic player hear fine guitar work enjoy,positive,"album songs, hooked album, albums",Error: '<' not supported between instances of 'NoneType' and 'int'
I ordered this bread machine for a vacation home that we own. I have a Cuisinart at my year-round home and it just has too many bells and whistles that I never use - and cost a lot more. The Sunbeam makes a great dough and was a great price.,ordered bread machine vacation home cuisinart yearround home many bells whistles never use cost lot sunbeam makes great dough great price,positive,"bread machine, dough great, dough",Error: '<' not supported between instances of 'NoneType' and 'int'
"My wife purchased a Rocket ebook for me for Christmas. She started here at Amazon. She carefully checked the Rocket web site as well, and spoke to the folks that make the Rocket. She was assured that everything required to use the Rocket with a Mac was included. Wrong! Any Mac currently being made or made during the past year or so requires a Keyspan connector between the e-book and the Mac USB slot. This costs $80. It is not mentioned in any documentation that comes with the ebook. It took me more than an hour to get through to the company. At first they responded by saying it was at their Website and/or in the FAQ section, but we ""went to their Web site together"" while I was on the phone, and they reluctantly conceded that they had mislead the public. The company does literature. Guide provided on the ebook. Regardless of how much I may eventually enjoy this toy, I'll never develop a high regard for NuvoMedia, which makes the Rocket ebook.",wife purchased rocket ebook christmas started amazon carefully checked rocket web site well spoke folks make rocket assured everything required use rocket mac included wrong mac currently made made past year requires keyspan connector ebook mac usb slot costs mentioned documentation comes ebook took hour get company first responded saying website andor faq section went web site together phone reluctantly conceded mislead public company literature guide provided ebook regardless much may eventually enjoy toy ill never develop high regard nuvomedia makes rocket ebook,positive,"rocket ebook, ebook mac, rocket mac",Error: '<' not supported between instances of 'NoneType' and 'int'
"Upon receipt it was dead, after a mixture of e-mailes and phone calls it was determined I needed to use 2 USB cables to power the drive. Since I only have 2 on my laptop, I cant print from the drive. after transfering 10 gig of pictures and 13 gig of mp3's the unit failed the next month. Again emails and phone calls determined my laptop did not have enough power to run the drive. The solution was an AC adapter.....great for a ""portable USB drive"" They said an AC adaptor would be sent...no adapter after 4 weeks now. I tried the drive on 4 other DESKTOPS, plenty of USB power, but no luck. I have lost so much information, pictures, and music and now no emails refering to my ""service number"" are being answered at all.A total lack of customer servive AND knolage of their own product. Think long and hard before dealing with Iogear!!",upon receipt dead mixture emailes phone calls determined needed use usb cables power drive since laptop cant print drive transfering gig pictures gig mps unit failed next month emails phone calls determined laptop enough power run drive solution ac adaptergreat portable usb drive said ac adaptor would sentno adapter weeks tried drive desktops plenty usb power luck lost much information pictures music emails refering service number answered alla total lack customer servive knolage product think long hard dealing iogear,negative,"lack customer, drive laptop, laptop power",Error: '<' not supported between instances of 'NoneType' and 'int'
"I just got my DVD in today and I tried to watch it but there seems to be nothing on both discs, I have tried it in my DVD player and my computer, nothing is on both discs, nothing will load, I got robbed.If there were something on both discs, i'd give it a high rating, but for now, all i'll give is one star.",got dvd today tried watch seems nothing discs tried dvd player computer nothing discs nothing load got robbedif something discs id give high rating ill give one star,negative,"discs tried, watch discs, tried dvd",Error: '<' not supported between instances of 'NoneType' and 'int'
It is a nice car - better than a already made car - your son will have fun assemble it will even do some changes and when he finish he can continue playing as if it were a standard car.,nice car better already made car son fun assemble even changes finish continue playing standard car,positive,"car son, better car, standard car",Error: '<' not supported between instances of 'NoneType' and 'int'
"This is a horrible disc, all of the songs, save one or two, have been reworked. If your looking for a cd to hear bygone favorites, as they were originally done, this is not the disc.",horrible disc songs save one two reworked looking cd hear bygone favorites originally done disc,positive,"disc songs, horrible disc, originally disc",Error: '<' not supported between instances of 'NoneType' and 'int'
Have used this and it definitely gets u going to the potty!! Bye bye water weight! I just don't like that it has to steep for a while...I am impatient.,used definitely gets u going potty bye bye water weight dont like steep whilei impatient,negative,"going potty, potty bye, potty",Error: '<' not supported between instances of 'NoneType' and 'int'
All of James Patterson's books (Women's Murder Club) have kept me in suspense. I would be glad to say that it have been a thrill to read them,james pattersons books womens murder club kept suspense would glad say thrill read,negative,"pattersons books, thrill read, books womens",Error: '<' not supported between instances of 'NoneType' and 'int'
I'm sick of everyone saying Ashlee has no talent. If she had no talent she wouldn't have a record deal. She is only 19 and talks about 19 year old things. People seem to forget that she has been on tv for 2 years and that is why people already know her. I appreciate her music b/c it is her music. She's more than many musicians today-she's writing the lyrics rather than singing other people's songs. The album is good. Quit putting her down and appreciate her for her hard work! She sings a lot better than other musicians you all like!,im sick everyone saying ashlee talent talent wouldnt record deal talks year old things people seem forget tv years people already know appreciate music bc music shes many musicians todayshes writing lyrics rather singing peoples songs album good quit putting appreciate hard work sings lot better musicians like,positive,"ashlee talent, talent talent, talent",Error: '<' not supported between instances of 'NoneType' and 'int'
"I'm a pilot, and I'm giving up on this product. I've been trying to use it, calibrate it, get it to respond somewhat close to the way a real aircraft responds, and it just doesn't work. It is possible I'm doing something wrong, but it should not take several hours of trying to figure out the right way. I've reduced sensitivity to zero and it still won't respond realistically.",im pilot im giving product ive trying use calibrate get respond somewhat close way real aircraft responds doesnt work possible im something wrong take several hours trying figure right way ive reduced sensitivity zero still wont respond realistically,negative,"calibrate respond, use calibrate, calibrate",Error: '<' not supported between instances of 'NoneType' and 'int'
"Movie had a great story, but filming methods of that time was not that great. I enjoyed the movie mostly because I had met the stars when they were in Colorado Springs during the filming of some of the movie.I purchased this movie from Amazon.",movie great story filming methods time great enjoyed movie mostly met stars colorado springs filming moviei purchased movie amazon,positive,"story filming, movie great, movie met",Error: '<' not supported between instances of 'NoneType' and 'int'
I bought this for my daughter when she was almost 2yrs. and she loved it from the start. The music is a little annoying but that is my problem not hers. She has stood on top of it and it has been dropped down the stairs and it still works fine!I would definalty reccomend this toy!,bought daughter almost yrs loved start music little annoying problem stood top dropped stairs still works finei would definalty reccomend toy,positive,"stairs works, dropped stairs, stairs",Error: '<' not supported between instances of 'NoneType' and 'int'
I was disappointed with this book. Since it said Hallelujah on the cover I though it was raw food recipes. I will be giving it away for a gift when I need something for a gift the next time.This book should of never been put with the Hallelujah diet book.,disappointed book since said hallelujah cover though raw food recipes giving away gift need something gift next timethis book never put hallelujah diet book,positive,"diet book, disappointed book, book hallelujah",Error: '<' not supported between instances of 'NoneType' and 'int'
"Actually, I thought I had ordered the CD of the TV show. Unfortunately, it wasn't. Amazom staff admitted that the pics on the sell page were misleading. We've listened and it's not worth much. Curious how a TV sound track can be so engaging and another CD so trite and shallow. Buyer beware.",actually thought ordered cd tv show unfortunately wasnt amazom staff admitted pics sell page misleading weve listened worth much curious tv sound track engaging another cd trite shallow buyer beware,negative,"ordered cd, cd tv, wasnt amazom",Error: '<' not supported between instances of 'NoneType' and 'int'
"I bought this neck strap WITH my camera, thinking I would be insane not to have a strap to put around my neck.I learned, however, that it really isn't necessary. The Elphs are so tiny that they EASILY fit into your pocket. The other option is to wind the included wrist strap around your wrist. They're so lightweight that you barely notice they're there.",bought neck strap camera thinking would insane strap put around necki learned however really isnt necessary elphs tiny easily fit pocket option wind included wrist strap around wrist theyre lightweight barely notice theyre,positive,"strap camera, neck strap, strap necki",Error: '<' not supported between instances of 'NoneType' and 'int'
"If you love the sport of curling, do not watch this movie! The acting is just okay. Don't let your kids watch this movie as there is a lot of profanity in it. The movie isn't awful, but it isn't good either. The curling action is not realistic.",love sport curling watch movie acting okay dont let kids watch movie lot profanity movie isnt awful isnt good either curling action realistic,positive,"curling action, sport curling, good curling",Error: '<' not supported between instances of 'NoneType' and 'int'
"After my last Panasonic Shaver mysteriously disappeared when I moved across the country, I decided to try this one, since the price was so cheap I wouldn't be kicking myself if the other shaver is rediscovered in a moving box somewhere. I have been very pleased with it, and love shaving in the shower with it. Like others, I have found that the neck area requires a little more attention and a few extra passes to get the job done, but well worth it for a close shave with no bleeding. It took over a month for the product to be delivered from Amazon, since they were out of stock when I ordered.",last panasonic shaver mysteriously disappeared moved across country decided try one since price cheap wouldnt kicking shaver rediscovered moving box somewhere pleased love shaving shower like others found neck area requires little attention extra passes get job done well worth close shave bleeding took month product delivered amazon since stock ordered,positive,"panasonic shaver, shaver, shaver mysteriously",Error: '<' not supported between instances of 'NoneType' and 'int'
"This UPS never worked from day one when I pluged it up.The lcd display only comes on when it's working off the battery,and I cant get it to charge the battery because it seems like its not seeing the power source it just doesn't work.",ups never worked day one pluged upthe lcd display comes working batteryand cant get charge battery seems like seeing power source doesnt work,positive,"ups worked, working batteryand, ups",Error: '<' not supported between instances of 'NoneType' and 'int'
"Within 20 minutes these candles were completely melted and now my carpet is a mess. More for decoration and with that being the case, these candles are too expensive for what your getting.",within minutes candles completely melted carpet mess decoration case candles expensive getting,negative,"candles expensive, case candles, candles completely",Error: '<' not supported between instances of 'NoneType' and 'int'
"A friend gave me a copy of ""Dresden"" and I watched it many times before giving it back and ordering my own copy. I watched the movie several times for different reasons: 1. History, 2. View from the German side, 3. View from the British side, 4. Acting skills. I love the movie, am impressed with F. Woll's in the main role. I think some scenes were too Hollywood, loved the honesty of the script, not too much violence, but one can start to feel the horror of the bombings and being trapped in cellars and on the ground by the devastating fires. I was a mistake, a big one, History was destroyed as it often is in wars. Did the Germans deserve this so much emotionally human reaction? Yes and No. Not only the Germans or the people of Dresden lost a jewel.",friend gave copy dresden watched many times giving back ordering copy watched movie several times different reasons history view german side view british side acting skills love movie impressed f wolls main role think scenes hollywood loved honesty script much violence one start feel horror bombings trapped cellars ground devastating fires mistake big one history destroyed often wars germans deserve much emotionally human reaction yes germans people dresden lost jewel,negative,"copy dresden, dresden watched, dresden lost",Error: '<' not supported between instances of 'NoneType' and 'int'
"I agree with the kids review below. This album along with all of their others is garbage. They just keep putting out the same album over and over.Do you really think in 10, 20, even 30 years, people are going to be playing Nickelback CDs and saying, ""Wow they were a great band""? Who goes around blasting Creed, Poison, Cinderella, Ratt, or C&C; Music Factory? This band will be forgotten just like these others.It's textbook rock ballad garbage with no thought or feeling put into the song writing. They have found a formula that somehow sells records and so they've stuck with it. Watch their live performances with Chad's gay permed haircut. Someone should take their instruments away so they won't poison rock music anymore.",agree kids review album along others garbage keep putting album overdo really think even years people going playing nickelback cds saying wow great band goes around blasting creed poison cinderella ratt cc music factory band forgotten like othersits textbook rock ballad garbage thought feeling put song writing found formula somehow sells records theyve stuck watch live performances chads gay permed haircut someone take instruments away wont poison rock music anymore,positive,"album garbage, nickelback cds, music anymore",Error: '<' not supported between instances of 'NoneType' and 'int'
"This is the epitome of a ""B"" western movie, but it's hilarious! Andy Griffith, Tom Berrenger, Marilou Henner and Selma Ward--all of them did a great job on this!",epitome b western movie hilarious andy griffith tom berrenger marilou henner selma wardall great job,positive,"andy griffith, western movie, griffith tom",Error: '<' not supported between instances of 'NoneType' and 'int'
"These are individually wrapped and there are approximately 15 cookies in each box. They have a nice flavor and are fresh and crispy. The fortunes are standard fortune cookie fare. Very few of these were broken during shipping. I definitely recommend these if you like fortune cookies. They are a low-calorie, low-fat snack. Yummy!",individually wrapped approximately cookies box nice flavor fresh crispy fortunes standard fortune cookie fare broken shipping definitely recommend like fortune cookies lowcalorie lowfat snack yummy,positive,"individually wrapped, fortune cookies, cookies box",Error: '<' not supported between instances of 'NoneType' and 'int'
"Polk Audio RM6750 5.1 Channel Home Theater Speaker System, Black FinishI have been using this speaker system for about a year with a Sony STR-DG810. I am very pleased with the performance of this package especially at the price point. My friends and family have all been impressed remarking that the system sounds like a movie theater. Bass from sub-woofer is deep and powerful and the center speaker reproduces dialoge beautifully. What is also nice, Polk sells seperate surround speakers so I can make a 6.1 system since my Sony receiver has that capability. Don't worry if you are thinking about RM6750, I have enjoyed mine from the start!",polk audio rm channel home theater speaker system black finishi using speaker system year sony strdg pleased performance package especially price point friends family impressed remarking system sounds like movie theater bass subwoofer deep powerful center speaker reproduces dialoge beautifully also nice polk sells seperate surround speakers make system since sony receiver capability dont worry thinking rm enjoyed mine start,positive,"polk audio, surround speakers, theater speaker",Error: '<' not supported between instances of 'NoneType' and 'int'
"VA 1/2 inch rotaty files and rasps are not 1/2 inch in diameter. They can be up to 1/16 smaller depending on product number. ie: 16671 is labeled 12.7 mm, yet VA's spec is 12.0 mm, and 16674 is labeled 12.7 mm, yet VA's spec is 11.6 mm",va inch rotaty files rasps inch diameter smaller depending product number ie labeled mm yet vas spec mm labeled mm yet vas spec mm,positive,"mm vas, spec mm, mm labeled",Error: '<' not supported between instances of 'NoneType' and 'int'
"I first saw Kentucky Fried Movie when I was 17 years old. I am now 51. A friend of mine mentioned a line from the movie and it was so funny that I went online to buy this movie to show my son and also to see it again with my friends now. It is made up of little skits that are all funny. Maybe a little silly also, but still a good movie to hang out and watch.",first saw kentucky fried movie years old friend mine mentioned line movie funny went online buy movie show son also see friends made little skits funny maybe little silly also still good movie hang watch,positive,"movie funny, line movie, buy movie",Error: '<' not supported between instances of 'NoneType' and 'int'
"Like Strayhorn and the Duke, Gil really found someone he could bounce off in the shape of Brian Jackson. His earlier stuff is pure gold, but very droney sometimes... BUT THIS!!!This I never tire of. The songs still sound so vibrant and fresh.The live version of 'home is where the hatred is' has been sampled by masters @ work, and is a muso's dream to get into.'Hello Sunday hello road is one of the grooviest tracks around, and you just can fail to move along and understand the message of 'It's your world.' My Mum used to have the LP, Secrets, with the cats face on the cover. Angel dust is a spacey reincarnation of whats it's like to trip out on the stuff, and the lyrics to showbusiness are more relevent today than ever before.This is one of the best and most valuble compilations of Gils to come out, and is an essential purchase for and funkster and poet.",like strayhorn duke gil really found someone could bounce shape brian jackson earlier stuff pure gold droney sometimes thisthis never tire songs still sound vibrant freshthe live version home hatred sampled masters work musos dream get intohello sunday hello road one grooviest tracks around fail move along understand message world mum used lp secrets cats face cover angel dust spacey reincarnation whats like trip stuff lyrics showbusiness relevent today ever beforethis one best valuble compilations gils come essential purchase funkster poet,positive,"tire songs, songs, compilations gils",Error: '<' not supported between instances of 'NoneType' and 'int'
